SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
20,90,180,45,270,56,25,0,17.7,1400,1.51,7.1,7.1,6.34E+19,22.7162,41.2988,23.3865,41.2988,22.7162,41.2988,23.3865,41.2988,23.3861,41.1398,22.7166,41.1398,
21,287,17,55,280,23,13.5,0,11.1,310.5,0.68,6.5,6.5,6.35E+18,23.6277,40.6053,23.367,40.6657,23.6277,40.6053,23.367,40.6657,23.3938,40.7323,23.6546,40.6719,
22,272,2,45,270,23,13.5,0,9.5,310.5,0.68,6.5,6.5,6.35E+18,23.3811,40.6414,23.1086,40.6486,23.3811,40.6414,23.1086,40.6486,23.1125,40.7344,23.3851,40.7272,
23,313,43,50,310,22,13,0,10,286,0.65,6.4,6.4,5.60E+18,23.1099,40.6441,22.919,40.7791,23.1099,40.6441,22.919,40.7791,22.9866,40.834,23.1775,40.6991,
24,286,16,40,280,23,13.5,0,8.7,310.5,0.68,6.5,6.5,6.33E+18,23.2739,40.4368,23.0125,40.4938,23.2739,40.4368,23.0125,40.4938,23.0462,40.5832,23.3077,40.5262,
25,272,2,40,270,22,13,0,8.4,286,0.65,6.4,6.4,5.577E+18,23.0153,40.4966,22.7553,40.5036,23.0153,40.4966,22.7553,40.5036,22.7593,40.5931,23.0195,40.5862,
26,57,147,50,270,27,15,0,11.5,405,0.78,6.6,6.6,9.54E+18,21.8911,40.9623,22.1611,41.0945,21.8911,40.9623,22.1611,41.0945,22.2236,41.0218,21.9538,40.8896,
27,50,140,50,260,32,17,0,13,544,0.92,6.7,6.7,1.50E+19,21.4704,40.6155,21.7612,40.8005,21.4704,40.6155,21.7612,40.8005,21.8445,40.7252,21.5537,40.5402,
28,28,118,60,240,25.5,14.5,0,12.6,369.8,0.75,6.5,6.5,8.30E+18,21.6831,40.6469,21.8252,40.8493,21.6831,40.6469,21.8252,40.8493,21.9012,40.8187,21.759,40.6162,
29,215,305,60,245,32,17,0,14.7,544,0.92,6.7,6.7,1.50E+19,21.8809,40.6848,21.6636,40.449,21.8809,40.6848,21.6636,40.449,21.5812,40.4929,21.7984,40.7286,
30,262,352,45,270,24,14,0,9.9,336,0.71,6.5,6.5,7.16E+18,22.551,40.5083,22.2699,40.4783,22.551,40.5083,22.2699,40.4783,22.2535,40.5664,22.5348,40.5965,
32,235,325,40,265,27,15,0,9.6,405,0.78,6.6,6.6,9.54E+18,22.1513,40.2821,21.8909,40.1429,22.1513,40.2821,21.8909,40.1429,21.8132,40.2275,22.0737,40.3668,
32,242,332,38,269,32,17,0,10.5,544,0.92,6.7,6.7,1.50E+19,21.8795,40.1397,21.5475,40.0045,21.8795,40.1397,21.5475,40.0045,21.4734,40.1109,21.8056,40.246,
33,292,22,45,290,22,13,0,9.2,286,0.65,6.4,6.4,5.60E+18,22.8184,39.8406,22.5793,39.9148,22.8184,39.8406,22.5793,39.9148,22.6197,39.9914,22.8588,39.9173,
34,108,198,60,270,19.5,13,0,11.3,253.5,0.61,6.4,6.4,4.66E+18,22.2243,39.8486,22.4415,39.7945,22.2243,39.8486,22.4415,39.7945,22.4179,39.7389,22.2008,39.7931,
35,284,14,55,270,22,13,0,10.6,286,0.65,6.4,6.4,5.58E+18,22.4656,39.6207,22.2163,39.6685,22.4656,39.6207,22.2163,39.6685,22.2373,39.7336,22.4867,39.6857,
36,310,40,40,271,31,16.5,3,13.6,511.5,0.89,6.7,6.7,1.36E+19,22.1838,39.6108,21.9062,39.79,22.2107,39.6354,21.933,39.8146,22.0281,39.9017,22.3058,39.7225,
37,84,174,45,260,46.5,22,0,15.6,1023,1.28,7,7,3.94E+19,22.6119,39.2688,23.1492,39.3126,22.6119,39.2688,23.1492,39.3126,23.1678,39.1734,22.631,39.1297,
38,95,185,45,270,22,13,0,9.2,286,0.65,6.4,6.4,5.58E+18,22.5468,39.3566,22.8016,39.3394,22.5468,39.3566,22.8016,39.3394,22.7922,39.257,22.5375,39.2743,
39,99,189,55,270,20,13,0,10.6,260,0.62,6.4,6.4,4.84E+18,22.3755,39.3575,22.6052,39.3293,22.3755,39.3575,22.6052,39.3293,22.5916,39.2631,22.362,39.2912,
40,288,18,45,285,31,16.5,0,11.7,511.5,0.89,6.7,6.7,1.36E+19,22.2842,39.147,21.9421,39.2332,22.2842,39.147,21.9421,39.2332,21.9839,39.333,22.3262,39.2468,
41,244,334,75,195,26,9.5,0,9.2,247,0.72,6.4,6.4,5.32E+18,23.0876,38.9525,22.8176,38.85,23.0876,38.9525,22.8176,38.85,22.8051,38.8699,23.0752,38.9724,
42,130,220,60,300,40,20,0,17.3,800,1.13,6.9,6.9,2.70E+19,23.1389,38.8588,23.4922,38.6276,23.1389,38.8588,23.4922,38.6276,23.4181,38.5587,23.0648,38.7899,
43,281,11,45,280,38,19,0,13.4,722,1.07,6.8,6.8,2.31E+19,22.4711,38.8524,22.0401,38.9176,22.4711,38.8524,22.0401,38.9176,22.0696,39.0362,22.5009,38.971,
44,281,11,45,280,49.5,23,0,16.3,1138.5,1.36,7,7,4.64E+19,23.0643,38.7255,22.5039,38.8105,23.0643,38.7255,22.5039,38.8105,22.5394,38.954,23.1004,38.8691,
45,295,25,45,280,38,19,0,13.4,722,1.07,6.8,6.8,2.31E+19,23.3011,38.5506,22.9047,38.6951,23.3011,38.5506,22.9047,38.6951,22.97,38.8046,23.3666,38.6601,
46,306,36,50,295,27,15,0,11.5,405,0.78,6.6,6.6,9.54E+18,23.5536,38.4169,23.3026,38.5597,23.5536,38.4169,23.3026,38.5597,23.3677,38.6298,23.6187,38.4871,
47,287,17,50,280,30,16,0,12.3,480,0.86,6.7,6.7,1.24E+19,23.9474,38.2875,23.6186,38.3663,23.9474,38.2875,23.6186,38.3663,23.653,38.4548,23.982,38.3759,
48,226,316,75,200,37,11,0,10.6,407,0.94,6.6,6.6,1.14E+19,23.8152,39.1111,23.5072,38.88,23.8152,39.1111,23.5072,38.88,23.4843,38.8984,23.7923,39.1295,
49,275,5,50,270,35,18,0,13.8,630,0.99,6.8,6.8,1.87E+19,24.1783,38.6839,23.7765,38.7114,24.1783,38.6839,23.7765,38.7114,23.788,38.815,24.19,38.7876,
50,132,222,80,10,37.9,11,8,18.8,417.3,0.94,6.7,6.7,1.18E+19,24.1568,39.203,24.4835,38.9747,24.1459,39.1936,24.4725,38.9652,24.4577,38.9525,24.1311,39.1808,
51,220,310,80,180,54,13,0,12.8,702,1.25,6.9,6.9,2.63E+19,25.1937,39.6598,24.7893,39.2878,25.1937,39.6598,24.7893,39.2878,24.7691,39.3008,25.1735,39.6729,
52,237,327,87,193,60,13.5,0,13.5,810,1.35,6.9,6.9,3.28E+19,25.9926,39.6085,25.4064,39.3146,25.9926,39.6085,25.4064,39.3146,25.4019,39.3199,25.9881,39.6138,
53,227,317,77,193,65,14,0,13.6,910,1.43,7,7,3.90E+19,25.4133,39.3729,24.8619,38.9743,25.4133,39.3729,24.8619,38.9743,24.8369,38.995,25.3884,39.3936,
54,227,317,77,193,30,10,0,9.7,300,0.8,6.5,6.5,7.16E+18,25.0721,39.0406,24.8184,38.8566,25.0721,39.0406,24.8184,38.8566,24.8006,38.8714,25.0543,39.0554,
55,313,43,44,304,24,14,0,9.7,336,0.53,6.5,6.4,5.34E+18,24.7424,38.9508,24.5392,39.098,24.7424,38.9508,24.5392,39.098,24.6187,39.1642,24.8219,39.017,
56,83,173,55,260,49,23,0,18.8,1127,1.35,7,7,4.57E+19,24.5953,39.2225,25.1601,39.2763,24.5953,39.2225,25.1601,39.2763,25.1785,39.1585,24.6141,39.1048,
57,233,323,75,195,40,11.5,0,11.1,460,1,6.7,6.7,1.38E+19,24.8555,38.762,24.4876,38.5456,24.8555,38.762,24.4876,38.5456,24.467,38.5669,24.8349,38.7834,
58,214,304,87,190,45,12,0,12,540,1.09,6.8,6.8,1.76E+19,26.3703,39.3702,26.0783,39.0346,26.3703,39.3702,26.0783,39.0346,26.0722,39.0378,26.3642,39.3733,
59,116,206,42,285,35,18,0,12,630,0.99,6.8,6.8,1.87E+19,26.1504,39.0114,26.5141,38.8734,26.1504,39.0114,26.5141,38.8734,26.4463,38.7653,26.0827,38.9033,
60,238,328,85,193,45,12,0,12,540,1.09,6.8,6.8,1.76E+19,25.823,38.8308,25.3831,38.6163,25.823,38.8308,25.3831,38.6163,25.3767,38.6243,25.8166,38.8388,
61,264,354,50,260,40.5,20,0,15.3,810,1.13,6.9,6.9,2.75E+19,26.2983,38.6617,25.8345,38.6237,26.2983,38.6617,25.8345,38.6237,25.8189,38.7386,26.283,38.7767,
62,132,222,55,300,43.5,21,0,17.2,913.5,1.16,6.9,7,3.50E+19,25.667,38.3414,26.037,38.0796,25.667,38.3414,26.037,38.0796,25.9448,37.9991,25.5749,38.2609,
63,92,182,50,265,29.5,16,0,12.3,472,0.77,6.7,6.7,1.20E+19,26.0414,38.0891,26.3783,38.0799,26.0414,38.0891,26.3783,38.0799,26.3741,37.9874,26.0374,37.9967,
64,272,2,48,267,40.5,20,0,14.9,810,1.03,6.9,6.9,2.75E+19,27.1188,37.805,26.6581,37.8177,27.1188,37.805,26.6581,37.8177,26.6632,37.938,27.1243,37.9253,
65,96,186,45,270,32,17,0,12,544,0.83,6.7,6.7,1.50E+19,26.5992,37.7207,26.961,37.6906,26.5992,37.7207,26.961,37.6906,26.9466,37.5831,26.5851,37.6132,
66,225,315,75,200,37,11,0,10.6,407,0.85,6.6,6.6,1.14E+19,26.6622,37.8125,26.3649,37.5772,26.6622,37.8125,26.3649,37.5772,26.342,37.5953,26.6394,37.8306,
67,56,146,75,210,59,13.5,0,13,796.5,1.21,6.9,6.9,3.18E+19,25.7988,37.3521,26.3533,37.6489,25.7988,37.3521,26.3533,37.6489,26.3754,37.6228,25.821,37.3261,
68,229,319,75,200,54,13,0,12.6,702,1.14,6.9,6.9,2.63E+19,26.1524,37.6994,25.6901,37.3807,26.1524,37.6994,25.6901,37.3807,25.6651,37.4036,26.1273,37.7222,
69,132,222,55,310,36,18.5,0,15.2,666,0.93,6.8,6.8,2.04E+19,24.83,37.7384,25.1338,37.5217,24.83,37.7384,25.1338,37.5217,25.0532,37.4508,24.7494,37.6675,
70,229,319,80,190,45,12,0,11.8,540,0.99,6.8,6.8,1.76E+19,24.7294,37.7178,24.344,37.4523,24.7294,37.7178,24.344,37.4523,24.3284,37.4664,24.7139,37.7319,
71,17,107,80,180,59,13.5,0,13.3,796.5,1.21,6.9,6.9,3.18E+19,24.4593,37.5617,24.6557,38.0692,24.4593,37.5617,24.6557,38.0692,24.6813,38.063,24.4848,37.5556,
72,36,126,75,180,64,14,0,13.5,896,1.29,7,7,3.82E+19,24.6439,38.0857,25.0751,38.5514,24.6439,38.0857,25.0751,38.5514,25.1088,38.5322,24.6775,38.0666,
73,219,309,75,200,37,11,0,10.6,407,0.85,6.6,6.6,1.14E+19,24.1143,37.4254,23.851,37.1669,24.1143,37.4254,23.851,37.1669,23.826,37.183,24.0893,37.4416,
74,53,143,75,200,41,11.5,0,11.1,471.5,0.92,6.7,6.7,1.43E+19,24.3281,36.9818,24.6973,37.2038,24.3281,36.9818,24.6973,37.2038,24.7175,37.1824,24.3484,36.9605,
75,229,319,75,200,45,12,0,11.6,540,0.99,6.8,6.8,1.76E+19,25.2351,37.1868,24.8524,36.9213,25.2351,37.1868,24.8524,36.9213,24.8294,36.9424,25.2121,37.2079,
76,333,63,50,290,49.5,23,0,17.6,1138.5,1.36,7,7,4.64E+19,23.022,37.0748,22.768,37.4714,23.022,37.0748,22.768,37.4714,22.9171,37.5318,23.1708,37.1351,
77,341,71,50,280,31,16.5,0,12.6,511.5,0.89,6.7,6.7,1.37E+19,23.1426,36.7939,23.029,37.0575,23.1426,36.7939,23.029,37.0575,23.142,37.0886,23.2553,36.825,
78,342,72,50,280,35,18,0,13.8,630,0.99,6.8,6.8,1.87E+19,23.2231,36.4547,23.1019,36.7541,23.2231,36.4547,23.1019,36.7541,23.2253,36.7862,23.3463,36.4869,
79,320,50,50,300,36,18.5,0,14.2,666,1.02,6.8,6.8,2.04E+19,23.5988,36.8422,23.3384,37.0902,23.5988,36.8422,23.3384,37.0902,23.441,37.1589,23.7014,36.9109,
80,297,27,50,290,56,25,0,19.2,1400,1.51,7.1,7.1,6.36E+19,24.155,36.5657,23.5955,36.7943,24.155,36.5657,23.5955,36.7943,23.6772,36.9231,24.2371,36.6944,
81,279,9,50,270,36,18.5,0,14.2,666,1.02,6.8,6.8,2.04E+19,24.2422,36.814,23.8427,36.8646,24.2422,36.814,23.8427,36.8646,23.8635,36.9703,24.2633,36.9196,
82,77,167,50,250,46.5,22,0,16.9,1023,1.28,7,7,3.94E+19,24.6609,36.4881,25.168,36.5821,24.6609,36.4881,25.168,36.5821,25.2034,36.4582,24.6966,36.3641,
83,49,139,60,230,49.5,23,0,19.9,1138.5,1.36,7,7,4.64E+19,25.246,36.4782,25.6646,36.7702,25.246,36.4782,25.6646,36.7702,25.7491,36.6922,25.3305,36.4001,
84,50,140,60,250,59,26,0,22.5,1534,1.59,7.2,7.2,7.32E+19,25.6062,36.5977,26.1136,36.9387,25.6062,36.5977,26.1136,36.9387,26.2073,36.8492,25.7,36.5081,
85,236,326,60,240,54,24.5,0,21.2,1323,1.47,7.1,7.1,5.83E+19,25.9149,36.499,25.4149,36.2274,25.9149,36.499,25.4149,36.2274,25.3383,36.3188,25.8384,36.5903,
86,237,327,65,260,56,25,0,22.7,1400,1.51,7.1,7.1,6.34E+19,26.4386,36.7883,25.9121,36.5141,26.4386,36.7883,25.9121,36.5141,25.8475,36.5937,26.3741,36.868,
87,78,168,60,270,40.5,20,0,17.3,810,1.13,6.9,6.9,2.75E+19,26.485,36.5935,26.929,36.6693,26.485,36.5935,26.929,36.6693,26.9521,36.5813,26.5084,36.5056,
88,244,334,60,260,39,19.5,0,16.9,760.5,1.1,6.9,6.9,2.50E+19,27.0056,36.5526,26.6136,36.3988,27.0056,36.5526,26.6136,36.3988,26.5657,36.4776,26.9579,36.6314,
89,62,152,60,280,31,16.5,0,14.3,511.5,0.89,6.7,6.7,1.36312E+19,27.066,36.7235,27.3734,36.8543,27.066,36.7235,27.3734,36.8543,27.4168,36.7888,27.1095,36.6579,
90,265,355,43,258,27,15,4,14.2,405,0.69,6.6,6.6,9.54E+18,27.5764,36.8864,27.2739,36.8652,27.5722,36.9248,27.2697,36.9036,27.2588,37.0019,27.5616,37.0231,
91,141,231,50,260,37.5,19,0,14.6,712.5,1.06,6.8,6.8,2.26E+19,22.9534,36.0758,23.2155,35.8137,22.9534,36.0758,23.2155,35.8137,23.1102,35.7446,22.8479,36.0067,
92,330,60,50,270,46,22,0,16.9,1012,1.28,7,7,3.87E+19,23.4199,35.8169,23.1643,36.1752,23.4199,35.8169,23.1643,36.1752,23.3006,36.2388,23.556,35.8805,
93,143,233,50,260,32,17,0,13,544,0.92,6.7,6.7,1.50E+19,23.3466,36.3198,23.5612,36.0899,23.3466,36.3198,23.5612,36.0899,23.464,36.0308,23.2493,36.2606,
94,99,189,50,270,42,20.5,0,15.7,861,1.17,6.9,6.9,3.02E+19,23.5882,36.0544,24.0494,35.9953,23.5882,36.0544,24.0494,35.9953,24.0264,35.8783,23.5654,35.9373,
95,112,202,50,280,42,20.5,0,15.7,861,1.17,6.9,6.9,3.02E+19,24.4698,36.3367,24.9041,36.1953,24.4698,36.3367,24.9041,36.1953,24.849,36.0854,24.4149,36.2269,
96,67,157,60,240,46.5,22,0,19.1,1023,1.28,7,7,3.94E+19,25.1996,36.133,25.6767,36.2964,25.1996,36.133,25.6767,36.2964,25.7245,36.2053,25.2476,36.0419,
97,244,334,60,240,54,24.5,0,21.2,1323,1.47,7.1,7.1,5.83427E+19,26.4574,36.2194,25.9171,36.0066,26.4574,36.2194,25.9171,36.0066,25.8571,36.1056,26.3977,36.3185,
98,191,281,40,295,52.5,24,0,15.4,1260,1.43,7.1,7.1,5.41E+19,27.1374,36.2088,27.0261,35.7454,27.1374,36.2088,27.0261,35.7454,26.8258,35.7769,26.9365,36.2404,
99,240,330,42,308,39,19.5,0,13,760.5,1.1,6.9,6.9,2.50E+19,27.6904,36.1782,27.3145,36.0028,27.6904,36.1782,27.3145,36.0028,27.2337,36.1157,27.6098,36.291,
100,234,324,80,335,45,12,0,11.8,540,1.09,6.8,6.8,1.76E+19,27.0973,35.6757,26.6948,35.4379,27.0973,35.6757,26.6948,35.4379,26.6813,35.453,27.0837,35.6909,
101,251,341,60,330,45,12,0,10.4,540,1.09,6.8,6.8,1.76E+19,26.598,35.6559,26.1274,35.5242,26.598,35.6559,26.1274,35.5242,26.1057,35.5752,26.5764,35.7069,
102,266,356,55,270,32,17,0,13.9,544,0.92,6.7,6.7,1.50E+19,25.7418,35.7675,25.3881,35.7475,25.7418,35.7675,25.3881,35.7475,25.3804,35.8349,25.7344,35.855,
103,250,340,55,260,23,13.5,0,11.1,310.5,0.68,6.5,6.5,6.35E+18,23.5573,38.2786,23.3098,38.2078,23.5573,38.2786,23.3098,38.2078,23.2795,38.2733,23.527,38.344,
104,79,169,60,280,28,15.5,0,13.4,434,0.81,6.6,6.6,1.06E+19,22.9831,38.2658,23.298,38.3138,22.9831,38.2658,23.298,38.3138,23.3149,38.2454,23.0001,38.1974,
105,60,150,55,280,22,13,0,10.6,286,0.65,6.4,6.4,5.60E+18,23.044,38.1586,23.2621,38.2576,23.044,38.1586,23.2621,38.2576,23.3047,38.1995,23.0867,38.1006,
106,258,348,52,283,38,19,0,15,722,1.07,6.8,6.8,2.31E+19,23.2785,38.0875,22.854,38.0165,23.2785,38.0875,22.854,38.0165,22.826,38.1194,23.2508,38.1904,
107,96,186,50,260,24,14,0,10.7,336,0.71,6.5,6.5,7.17E+18,23.1293,37.9802,23.4016,37.9576,23.1293,37.9802,23.4016,37.9576,23.3908,37.8771,23.1186,37.8997,
108,257,347,50,260,24,14,0,10.7,336,0.71,6.5,6.5,7.16E+18,23.1029,37.8438,22.8367,37.7952,23.1029,37.8438,22.8367,37.7952,22.8136,37.8741,23.0799,37.9226,
109,90,180,50,265,27,15,0,11.5,405,0.78,6.6,6.6,9.54E+18,22.4059,38.4864,22.7162,38.4864,22.4059,38.4864,22.7162,38.4864,22.7161,38.3997,22.406,38.3997,
110,275,5,45,275,40.5,20,0,14.1,810,1.13,6.9,6.9,2.75E+19,22.7138,38.1231,22.2525,38.1549,22.7138,38.1231,22.2525,38.1549,22.2664,38.2816,22.7281,38.2498,
111,282,12,45,285,35,18,0,12.7,630,0.99,6.8,6.8,1.87E+19,22.3636,38.1628,21.9718,38.2282,22.3636,38.1628,21.9718,38.2282,22.002,38.3402,22.394,38.2747,
112,280,10,33,284,24,14,0,7.6,336,0.71,6.5,6.5,7.17E+18,22.2541,38.2312,21.9834,38.2686,22.2541,38.2312,21.9834,38.2686,22.0067,38.3726,22.2775,38.3351,
113,278,8,45,280,27,15,0,10.6,405,0.78,6.6,6.6,9.54E+18,21.6024,38.5206,21.295,38.5544,21.6024,38.5206,21.295,38.5544,21.3119,38.6489,21.6195,38.6151,
114,340,70,85,350,30,10,0,10,300,0.8,6.5,6.5,7.16E+18,21.3207,38.4249,21.2028,38.6785,21.3207,38.4249,21.2028,38.6785,21.2122,38.6811,21.3302,38.4276,
115,334,64,85,340,33,10.5,0,10.5,346.5,0.86,6.6,6.6,8.93E+18,21.197,38.6793,21.03,38.946,21.197,38.6793,21.03,38.946,21.0395,38.9496,21.2065,38.6829,
116,318,48,30,80,66.5,24.5,2,14.3,1629.2,1.73,7.2,7.2,8.44E+19,19.4952,40.1065,18.9701,40.551,19.5256,40.1274,19.0005,40.5718,19.1868,40.6995,19.7117,40.2551,
117,339,69,35,80,63,23.5,3,16.5,1480.5,1.67,7.2,7.2,7.41E+19,20.0455,40.2946,19.778,40.8235,20.0928,40.3084,19.8255,40.8373,20.0387,40.8994,20.3053,40.3704,
118,323,53,35,80,50,20,0,11.5,1000,1.46,7,7,4.38E+19,20.4223,39.9027,20.0686,40.2619,20.4223,39.9027,20.0686,40.2619,20.2226,40.3505,20.5761,39.9914,
119,317,47,40,80,46.5,19,3,15.2,883.5,1.39,7,7,3.693E+19,20.3825,39.7671,20.0105,40.0729,20.4132,39.789,20.0412,40.0948,20.1662,40.1841,20.5381,39.8782,
120,224,314,54,275,24,14,0,11.3,336,0.71,6.5,6.5,7.17E+18,20.7787,40.0746,20.5829,39.9194,20.7787,40.0746,20.5829,39.9194,20.5134,39.9708,20.7091,40.126,
121,336,66,37,90,20,10.5,0,6.3,210,0.84,6.4,6.4,5.31E+18,20.5606,39.7419,20.4654,39.9063,20.5606,39.7419,20.4654,39.9063,20.5552,39.9369,20.6503,39.7726,
122,354,84,35,90,23,11.5,2,8.6,264.5,0.91,6.5,6.5,7.22E+18,20.4938,39.5054,20.4657,39.7111,20.527,39.508,20.4989,39.7138,20.6084,39.7226,20.6363,39.5169,
123,157,247,60,90,21.5,11,0,9.5,236.5,0.88,6.5,6.5,6.23E+18,20.6122,39.7214,20.7103,39.5435,20.6122,39.7214,20.7103,39.5435,20.6512,39.5241,20.553,39.7021,
124,130,220,60,90,30,14,0,12.1,420,1.07,6.7,6.7,1.35E+19,20.648,39.8677,20.9169,39.6943,20.648,39.8677,20.9169,39.6943,20.8643,39.6461,20.5954,39.8195,
125,84,174,89,330,33,10.5,0,10.5,346.5,0.86,6.6,6.6,8.93E+18,20.4322,39.4961,20.8148,39.5271,20.4322,39.4961,20.8148,39.5271,20.815,39.5255,20.4325,39.4945,
126,333,63,35,80,30,14,5,13,420,1.07,6.7,6.7,1.35E+19,20.5267,39.2177,20.3682,39.458,20.6006,39.2468,20.4422,39.4872,20.5612,39.534,20.7195,39.2936,
127,335,65,35,80,27,13,2,9.5,351,1.01,6.6,6.6,1.06E+19,20.6548,39.2668,20.522,39.4869,20.6849,39.2777,20.5521,39.4977,20.6645,39.5382,20.7972,39.3181,
128,326,56,30,90,68.5,25,7,19.5,1712.5,1.76,7.2,7.2,9.02E+19,19.7449,39.3313,19.2972,39.842,19.8621,39.3922,19.4147,39.903,19.6247,40.0118,20.0717,39.5011,
129,320,50,30,80,68.5,25,7,19.5,1712.5,1.76,7.2,7.2,9.02E+19,20.3974,38.8288,19.8868,39.3007,20.505,38.8988,19.9945,39.3708,20.187,39.4959,20.6973,39.024,
130,16,106,72,178,54,13,0,12.4,702,1.25,6.9,6.9,2.63E+19,20.4309,38.4739,20.6025,38.9407,20.4309,38.4739,20.6025,38.9407,20.647,38.9308,20.4754,38.4639,
131,26,116,75,186,87,16,0,15.5,1392,1.79,7.2,7.2,7.49E+19,19.9762,37.76,20.4121,38.4633,19.9762,37.76,20.4121,38.4633,20.4548,38.4469,20.0187,37.7437,
132,333,63,50,83,46.5,19,0,14.6,883.5,1.39,7,7,3.69E+19,20.7858,38.072,20.5441,38.4446,20.7858,38.072,20.5441,38.4446,20.6688,38.4945,20.9104,38.1219,
133,304,34,35,55,33,15,1,9.6,495,1.14,6.8,6.8,1.69E+19,20.7778,38.0486,20.465,38.2146,20.787,38.0593,20.4741,38.2252,20.5527,38.3168,20.8656,38.1509,
134,300,30,85,9,33,10.5,15,25.5,346.5,0.86,6.6,6.6,8.93E+18,21.1496,37.8211,20.8238,37.9695,21.157,37.8314,20.8313,37.9797,20.8365,37.9869,21.1623,37.8385,
